ro;percent;DaysSaved;tp
1;12;-14.3440451974771;TP = 75%
2;12;-13.4286015948139;TP = 75%
3;12;-0.885933049728623;TP = 75%
4;12;17.5786165685015;TP = 75%
5;12;29.8170363809631;TP = 75%
6;12;38.2518795461982;TP = 75%
7;12;44.3978383921534;TP = 75%
8;12;49.0593624693474;TP = 75%
9;12;52.6851700049942;TP = 75%
10;12;55.5057895420084;TP = 75%
11;12;57.5036057629701;TP = 75%
12;12;58.0589519477798;TP = 75%
13;12;55.6676031502648;TP = 75%
14;12;50.4012383727114;TP = 75%
15;12;44.408430992205;TP = 75%
16;12;38.7231910512018;TP = 75%
17;12;33.5209303534554;TP = 75%
18;12;28.7914054103195;TP = 75%
19;12;24.4925994373043;TP = 75%
20;12;20.5782042407245;TP = 75%
1;13;-15.533292449968;TP = 75%
2;13;-14.6165649951118;TP = 75%
3;13;-2.07207523873121;TP = 75%
4;13;16.3951290206687;TP = 75%
5;13;28.6375563877182;TP = 75%
6;13;37.0787346983278;TP = 75%
7;13;43.2353515385313;TP = 75%
8;13;47.9164485035922;TP = 75%
9;13;51.5831310517596;TP = 75%
10;13;54.5066151425306;TP = 75%
11;13;56.8281447401905;TP = 75%
12;13;58.5270830275538;TP = 75%
13;13;59.1846185780235;TP = 75%
14;13;57.6198287332122;TP = 75%
15;13;53.2386161465878;TP = 75%
16;13;47.6279983911267;TP = 75%
17;13;42.0750533907829;TP = 75%
18;13;36.9087912874732;TP = 75%
19;13;32.16392525582;TP = 75%
20;13;27.8169386210854;TP = 75%
1;14;-16.7207303717135;TP = 75%
2;14;-15.8029439669926;TP = 75%
3;14;-3.25700757864998;TP = 75%
4;14;15.2122146607454;TP = 75%
5;14;27.4575317914207;TP = 75%
6;14;35.9029882802826;TP = 75%
7;14;42.0662173864053;TP = 75%
8;14;46.7581364980654;TP = 75%
9;14;50.4439890971236;TP = 75%
10;14;53.4055069759851;TP = 75%
11;14;55.8157427769115;TP = 75%
12;14;57.7671155838587;TP = 75%
13;14;59.2487143314524;TP = 75%
14;14;60.0025228618698;TP = 75%
15;14;59.2011338240545;TP = 75%
16;14;55.9005287616414;TP = 75%
17;14;50.867748712227;TP = 75%
18;14;45.5201042305208;TP = 75%
19;14;40.4210554542877;TP = 75%
20;14;35.6815720842074;TP = 75%
1;15;-17.906337186848;TP = 75%
2;15;-16.9876663017339;TP = 75%
3;15;-4.44055966239447;TP = 75%
4;15;14.0302364366015;TP = 75%
5;15;26.2777130517811;TP = 75%
6;15;34.7262067426052;TP = 75%
